City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,hamilton,39.1834,-84.5333,278.58,73,0,2.06,US,1707268909
240,yaren,-0.5472,166.916,302.21,74,100,6.43,NR,1707268426
241,san luis de la loma,17.2706,-100.8939,298.09,79,5,1.94,MX,1707269009
242,ouadda,8.0777,22.4007,294.91,17,8,3.82,CF,1707269009
243,kingston,17.997,-76.7936,297.68,69,20,5.66,JM,1707268875
244,zouerate,22.7187,-12.4521,290.7,10,78,4.33,MR,1707269010
245,cabedelo,-6.9811,-34.8339,301.52,78,15,4.32,BR,1707268792
246,yarmouth,41.7057,-70.2286,274.41,89,100,7.15,US,1707269011
247,popondetta,-8.7537,148.2534,304.71,61,100,1.77,PG,1707269011
248,talnakh,69.4865,88.3972,252.48,85,100,3.05,RU,1707269003
249,vallenar,-28.5708,-70.7581,296.47,62,65,1.33,CL,1707269012
250,al fulah,11.7329,28.3579,290.56,18,15,6.8,SD,1707269013
251,nizao,18.25,-70.2,300.57,76,38,8.06,DO,1707269013
252,la gi,10.6667,107.7833,299.31,78,90,4.52,VN,1707269014
253,centerville,39.6284,-84.1594,277.42,76,0,2.57,US,1707268953
254,anloga,5.7947,0.8973,299.38,79,5,2.47,GH,1707269015
255,nova vicosa,-17.8919,-39.3719,299.0,85,100,3.08,BR,1707269015
256,mata-utu,-13.2816,-176.1745,301.73,78,92,6.98,WF,1707268720
257,sheridan,44.8333,-106.9173,281.66,64,20,3.6,US,1707269009
258,carnarvon,-24.8667,113.6333,304.4,40,1,5.98,AU,1707269008
259,lingyuan,41.24,119.4011,266.87,55,0,1.5,CN,1707269017
260,al ghayzah,16.2079,52.176,294.64,63,16,1.25,YE,1707269017
261,lerwick,60.1545,-1.1494,274.15,62,100,7.22,GB,1707269017
262,aver-o-mar,41.4078,-8.7812,286.46,82,20,4.12,PT,1707269018
263,ebon,4.582,168.6964,301.26,79,29,6.93,MH,1707269019
264,navia,43.5354,-6.7194,284.11,81,100,2.56,ES,1707269020
265,sukabumi,-6.9181,106.9267,295.45,86,100,0.54,ID,1707269020
266,broken hill,-31.95,141.4333,296.31,27,46,7.72,AU,1707268982
267,el bauga,18.262,33.9081,286.78,27,100,5.65,SD,1707269021
268,fernie,49.5,-115.0687,275.26,93,94,1.21,CA,1707269022
269,vila do maio,15.1333,-23.2167,296.59,68,2,5.08,CV,1707269022
270,anori,-3.7728,-61.6442,298.42,93,100,0.78,BR,1707269023
271,myrhorod,49.9685,33.6089,277.94,91,100,6.34,UA,1707269023
272,tinogasta,-28.0632,-67.5649,301.99,38,15,2.38,AR,1707269024
273,extrema,-22.8547,-46.3183,291.66,96,100,1.55,BR,1707268864
274,zhaoyuan,37.3592,120.3964,271.29,66,4,3.74,CN,1707269024
275,bela,25.9333,81.9833,283.34,60,11,3.14,IN,1707269025
276,vila franca do campo,37.7167,-25.4333,291.38,86,100,7.61,PT,1707269025
277,naze,28.3667,129.4833,287.66,76,100,4.89,JP,1707269026
278,happy valley-goose bay,53.3168,-60.3315,258.32,72,20,3.09,CA,1707269000
279,aykhal,66.0,111.5,242.68,100,100,2.29,RU,1707268430
280,yeed,4.55,43.0333,298.73,68,30,6.11,SO,1707269027
281,al hawatah,13.4167,34.6333,295.48,24,100,5.78,SD,1707269028
282,gao,16.6362,1.637,289.99,16,80,5.82,ML,1707269028
283,north battleford,52.7834,-108.2847,269.2,93,100,4.63,CA,1707269029
284,nogliki,51.8333,143.1667,255.01,92,93,3.13,RU,1707269029
285,thunder bay,48.4001,-89.3168,275.14,93,100,1.03,CA,1707269030
286,uyuni,-20.4597,-66.825,284.44,61,88,4.29,BO,1707269030
287,craig,40.5153,-107.5464,277.94,75,75,2.06,US,1707268944
288,yuxi,24.355,102.5422,283.82,66,4,2.67,CN,1707269031
289,lower hutt,-41.2167,174.9167,296.1,56,40,11.83,NZ,1707269032
290,altai,46.3722,96.2583,253.55,68,6,0.74,MN,1707269032
291,nanma,36.1817,118.1583,271.45,64,7,1.53,CN,1707269033
292,okondja,-0.6549,13.6753,297.69,69,82,0.93,GA,1707269033
293,plyeshchanitsy,54.4222,27.8331,271.43,97,100,5.46,BY,1707269034
294,nyandoma,61.669,40.1991,246.05,100,100,1.22,RU,1707269034
295,al burayqah,30.4062,19.5739,288.83,66,0,2.91,LY,1707269017
296,merizo village,13.2658,144.6691,302.46,78,100,6.96,GU,1707269035
297,mugia,43.1041,-9.2179,288.1,93,100,9.71,ES,1707269036
298,korla,41.7597,86.1469,267.42,75,99,0.12,CN,1707269010
299,queenstown,-31.8976,26.8753,293.0,47,10,2.32,ZA,1707269017
300,alice springs,-23.7,133.8833,301.6,48,75,7.2,AU,1707268968
301,quellon,-43.1167,-73.6167,284.89,82,100,6.4,CL,1707269038
302,golub-dobrzyn,53.1109,19.0538,283.44,80,100,12.88,PL,1707269039
303,luderitz,-26.6481,15.1594,292.38,78,99,4.9,NA,1707269039
304,papao,-17.75,-149.55,300.97,89,100,10.4,PF,1707269040
305,uturoa,-16.7333,-151.4333,301.26,85,100,13.19,PF,1707268842
306,lhokseumawe,5.1801,97.1507,298.65,78,59,0.79,ID,1707269041
307,puerto aysen,-45.4,-72.7,282.66,93,100,5.04,CL,1707269041
308,vizinga,61.0749,50.1031,252.6,97,99,2.84,RU,1707269042
309,owo,7.1962,5.5868,296.42,21,31,0.95,NG,1707269043
310,rongelap,11.1635,166.8941,299.85,81,86,6.05,MH,1707269017
311,marat,25.0701,45.4615,283.24,43,0,2.96,SA,1707269044
312,aweil,8.7682,27.4002,295.04,18,15,2.65,SS,1707269044
313,wenchang,30.904,118.4887,274.03,96,100,1.78,CN,1707269013
314,sorong,-0.8833,131.25,300.85,75,100,2.5,ID,1707269045
315,san felipe,10.3399,-68.7425,297.87,86,100,1.45,VE,1707269046
316,sambava,-14.2667,50.1667,296.55,91,100,2.28,MG,1707269046
317,flin flon,54.7682,-101.865,259.27,94,86,2.98,CA,1707269019
318,wurtulla,-26.7568,153.1256,301.1,93,13,2.24,AU,1707269047
319,ilhabela,-23.7781,-45.3581,297.86,91,100,2.0,BR,1707269006
320,launceston,-41.45,147.1667,294.95,40,77,3.09,AU,1707269048
321,howard springs,-12.497,131.047,305.83,80,6,3.58,AU,1707269025
322,genthin,52.4,12.1667,283.29,85,100,7.8,DE,1707269049
323,pestovo,58.5938,35.8024,250.16,100,100,1.41,RU,1707269049
324,vilhena,-12.7406,-60.1458,296.73,81,98,1.59,BR,1707268758
325,portland,45.5234,-122.6762,283.02,87,100,0.45,US,1707269024
326,yantarnyy,54.8717,19.9381,278.61,90,100,12.39,RU,1707269050
327,kostopil',50.8784,26.4519,279.75,77,100,9.81,UA,1707269051
328,brokopondo,4.75,-55.1667,297.76,91,70,3.75,SR,1707269051
329,qamdo,31.1667,97.2333,263.7,49,4,3.18,CN,1707269052
330,comandante fontana,-25.3345,-59.6821,296.92,83,100,1.93,AR,1707269053
331,karwar,14.8,74.1333,297.33,54,0,1.42,IN,1707269053
332,colonia,50.9333,6.95,284.72,80,75,8.75,DE,1707268769
333,niafunke,15.9322,-3.9906,293.51,13,0,5.09,ML,1707269054
334,vegreville,53.5001,-112.0518,267.45,86,94,3.6,CA,1707269054
335,yashkul',46.1711,45.3435,274.02,78,100,6.17,RU,1707269055
336,smara,26.7384,-11.6719,290.57,20,100,4.42,EH,1707269056
337,nasiriyah,31.0521,46.261,286.43,57,6,3.66,IQ,1707269056
338,prado,-17.3411,-39.2208,298.53,88,71,2.37,BR,1707269017
339,kakanj,44.1272,18.1181,272.81,91,100,2.23,BA,1707269057
340,sampit,-2.5333,112.95,298.57,94,100,1.91,ID,1707269058
341,hithadhoo,-0.6,73.0833,301.23,75,40,2.92,MV,1707269003
342,lospalos,-8.5186,127.0025,298.56,80,100,1.45,TL,1707269059
343,pierre,44.3683,-100.351,275.66,100,100,7.72,US,1707268941
344,morehead city,34.7229,-76.726,279.25,73,0,8.23,US,1707269060
345,chonchi,-42.6128,-73.8092,288.33,91,100,4.36,CL,1707269002
346,banjarmasin,-3.3244,114.591,298.23,91,100,0.32,ID,1707269061
347,banda aceh,5.5577,95.3222,298.75,80,6,3.72,ID,1707268859
348,alagapuram,11.8871,78.9176,292.9,87,6,1.38,IN,1707268817
349,cartagena del chaira,1.3349,-74.8429,296.44,96,21,0.92,CO,1707268793
350,mafinga,-7.25,35.0667,291.52,95,18,0.26,TZ,1707269063
351,guatire,10.4762,-66.5427,297.86,85,56,0.93,VE,1707269063
352,chos malal,-37.3781,-70.2709,296.97,28,91,5.57,AR,1707269064
353,mastung,29.7994,66.845,277.83,68,9,1.46,PK,1707269065
354,cuatro cienegas de carranza,26.9833,-102.0833,289.41,37,16,2.65,MX,1707269066
355,galliano,29.4422,-90.2992,288.15,64,0,2.77,US,1707269066
356,korhogo,9.45,-5.6333,295.79,18,3,2.03,CI,1707269067
357,iaciara,-14.0958,-46.6317,295.6,86,94,0.06,BR,1707269067
358,manggar,-2.8833,108.2667,297.82,84,100,2.32,ID,1707269068
359,dryden,49.7833,-92.7503,273.31,100,100,1.54,CA,1707269005
360,kichmengskiy gorodok,59.9816,45.7854,247.56,100,86,1.79,RU,1707269069
361,qobustan,40.0824,49.412,279.54,76,97,5.62,AZ,1707269069
362,mili,6.0815,171.735,301.13,72,80,7.63,MH,1707269021
